id,application_id,candidate_id,date,interviewer,result,comment
i1,a2,2,2026-04-21,田中 部長,通過,コミュニケーション能力が高く、技術力も申し分なし。次回は技術面接へ。
i2,a2,2,2026-04-17,鈴木 採用担当,通過,カルチャーフィット問題なし。志望動機も明確。
i3,a4,4,2026-04-14,山本 マネージャー,不採用,スキルセットは問題ないが、求めるポジションとの方向性が合わなかった。
i4,a5,5,2026-04-15,CEO 佐々木,通過,技術力・人柄ともに申し分なし。即戦力として期待大。
i5,a5,5,2026-04-10,CTO 中島,通過,k8sの深い知識を持つ。アーキテクチャ設計の議論も活発でよかった。
i6,a5,5,2026-04-05,田中 部長,通過,コミュニケーション良好。チームフィットも問題なし。
i7,a6,6,2026-04-05,CEO 佐々木,通過,入社意欲が高く、ビジョンへの共感も強い。即決で内定。
i8,a7,7,2026-04-12,田中 部長,通過,スキルは十分。しかし翌日に辞退連絡あり。
i9,a8,8,2026-03-20,CTO 中島,通過,iOSの知識が深く、即戦力として最高評価。
i10,a10,10,2026-04-16,田中 部長,通過,分析スキルが高く、ビジネス理解も深い。2次面接へ進める。
