id,interview_id,application_id,candidate_id,technical_score,communication_score,alignment_score,overall_grade,result,ng_reason,concerns,comment,next_action
e1,i4,a5,5,5,4,5,A,通過,,,"即戦力として申し分なし。チームへの貢献度も高く期待できる。",内定通知を送付する
e2,i1,a2,2,4,5,4,A,通過,,,"コミュニケーション力が非常に高い。技術力も安定している。",2次面接の日程調整
e3,i3,a4,4,3,3,2,C,不採用,志向性不一致,ポジションとの方向性ミスマッチ,"技術力は平均的。ただしキャリア志向が当社の求める方向と異なる。",不採用通知
e4,i8,a7,7,4,4,3,B,不採用,辞退,翌日に辞退連絡,"スキルは十分だったが候補者側から辞退。",辞退理由のヒアリング
e5,i2,a2,2,2,3,3,D,不採用,スキル不足,フレームワーク理解が浅い,"React の深い知識が不足。現時点では採用基準を満たさない。",不採用通知
e6,i5,a5,5,3,4,3,C,不採用,経験不足,大規模インフラ運用経験なし,"k8s の基礎はあるが、本番規模での運用経験が不足している。",不採用通知
e7,i6,a5,5,4,2,3,C,不採用,カルチャーフィット不足,チームワーク面に懸念,"個人プレー志向が強くチーム文化との相性に不安がある。",不採用通知
e8,i9,a8,8,3,3,4,C,不採用,条件不一致,希望年収が予算超過,"スキル・意欲は問題なし。ただし希望年収が採用予算を大幅に超えた。",条件面の再調整を打診
e9,i10,a10,10,2,4,3,D,不採用,スキル不足,統計・MLの知識が基礎レベル,"ビジネス理解は高いが、技術的な分析スキルが求めるレベルに達していない。",不採用通知
e10,i7,a6,6,4,4,4,B,通過,,,"全体的にバランスが良く、チームへの貢献が見込める。",内定承諾フォローアップ
